"Genome","Substrates","n","Species"
"B_theta","exo-polysaccharide",18,"non-MB"
"B_theta","fructan",4,"non-MB"
"B_theta","glucosylglycerate",7,"non-MB"
"B_theta","glucosylglycerol",7,"non-MB"
"B_theta","glycogen",8,"non-MB"
"B_theta","host glycan",147,"non-MB"
"B_theta","human milk polysaccharide",14,"non-MB"
"B_theta","pectin",79,"non-MB"
"B_theta","peptidoglycan",19,"non-MB"
"B_theta","polyphenol",16,"non-MB"
"B_theta","porphyran",3,"non-MB"
"B_theta","raffinose",7,"non-MB"
"B_theta","sialic acid",2,"non-MB"
"B_theta","starch",20,"non-MB"
"B_theta","sucrose",13,"non-MB"
"B_theta","trehalose",7,"non-MB"
"B_theta","ulvan",7,"non-MB"
"B_theta","xylan",92,"non-MB"
"B_theta","xyloglucan",24,"non-MB"
"B_theta",NA,1,"non-MB"
"DSM_28989_YL27","agarose",3,"MB"
"DSM_28989_YL27","alpha-galactan",7,"MB"
"DSM_28989_YL27","alpha-glucan",9,"MB"
"DSM_28989_YL27","alpha-mannan",11,"MB"
"DSM_28989_YL27","alpha-rhamnoside",1,"MB"
"DSM_28989_YL27","arabinan",21,"MB"
"DSM_28989_YL27","arabinogalactan protein",9,"MB"
"DSM_28989_YL27","beta-galactan",13,"MB"
"DSM_28989_YL27","beta-glucan",19,"MB"
"DSM_28989_YL27","beta-glucuronan",7,"MB"
"DSM_28989_YL27","beta-mannan",8,"MB"
"DSM_28989_YL27","carrageenan",3,"MB"
"DSM_28989_YL27","chitin",14,"MB"
"DSM_28989_YL27","chitosan",7,"MB"
"DSM_28989_YL27","exo-polysaccharide",7,"MB"
"DSM_28989_YL27","fructan",2,"MB"
"DSM_28989_YL27","glucosylglycerate",6,"MB"
"DSM_28989_YL27","glucosylglycerol",6,"MB"
"DSM_28989_YL27","glycogen",7,"MB"
"DSM_28989_YL27","host glycan",46,"MB"
"DSM_28989_YL27","human milk polysaccharide",4,"MB"
"DSM_28989_YL27","pectin",18,"MB"
"DSM_28989_YL27","peptidoglycan",15,"MB"
"DSM_28989_YL27","polyphenol",12,"MB"
"DSM_28989_YL27","porphyran",3,"MB"
"DSM_28989_YL27","raffinose",2,"MB"
"DSM_28989_YL27","sialic acid",4,"MB"
"DSM_28989_YL27","starch",12,"MB"
"DSM_28989_YL27","sucrose",10,"MB"
"DSM_28989_YL27","trehalose",6,"MB"
"DSM_28989_YL27","ulvan",1,"MB"
"DSM_28989_YL27","xylan",23,"MB"
"DSM_28989_YL27","xyloglucan",17,"MB"
"Duncaniella_6FAAM","agarose",1,"MB"
"Duncaniella_6FAAM","alkaloid",2,"MB"
"Duncaniella_6FAAM","alpha-galactan",5,"MB"
"Duncaniella_6FAAM","alpha-glucan",9,"MB"
"Duncaniella_6FAAM","alpha-mannan",10,"MB"
"Duncaniella_6FAAM","alpha-rhamnoside",4,"MB"
"Duncaniella_6FAAM","arabinan",27,"MB"
"Duncaniella_6FAAM","arabinogalactan protein",16,"MB"
"Duncaniella_6FAAM","beta-galactan",18,"MB"
"Duncaniella_6FAAM","beta-glucan",19,"MB"
"Duncaniella_6FAAM","beta-glucuronan",7,"MB"
"Duncaniella_6FAAM","beta-glycan",3,"MB"
"Duncaniella_6FAAM","beta-mannan",10,"MB"
"Duncaniella_6FAAM","carrageenan",2,"MB"
"Duncaniella_6FAAM","cellulose",3,"MB"
"Duncaniella_6FAAM","chitin",10,"MB"
"Duncaniella_6FAAM","chitosan",10,"MB"
"Duncaniella_6FAAM","exo-polysaccharide",1,"MB"
"Duncaniella_6FAAM","fructan",1,"MB"
"Duncaniella_6FAAM","glucosylglycerate",6,"MB"
"Duncaniella_6FAAM","glucosylglycerol",6,"MB"
"Duncaniella_6FAAM","glycogen",7,"MB"
"Duncaniella_6FAAM","glycolipid",3,"MB"
"Duncaniella_6FAAM","host glycan",20,"MB"
"Duncaniella_6FAAM","pectin",37,"MB"
"Duncaniella_6FAAM","peptidoglycan",15,"MB"
"Duncaniella_6FAAM","polyphenol",9,"MB"
"Duncaniella_6FAAM","porphyran",1,"MB"
"Duncaniella_6FAAM","raffinose",1,"MB"
"Duncaniella_6FAAM","sialic acid",1,"MB"
"Duncaniella_6FAAM","starch",11,"MB"
"Duncaniella_6FAAM","sucrose",9,"MB"
"Duncaniella_6FAAM","trehalose",6,"MB"
"Duncaniella_6FAAM","ulvan",2,"MB"
"Duncaniella_6FAAM","xylan",33,"MB"
"Duncaniella_6FAAM","xyloglucan",12,"MB"
"E12_NM3","agarose",4,"MB"
"E12_NM3","alpha-galactan",7,"MB"
"E12_NM3","alpha-glucan",9,"MB"
"E12_NM3","alpha-mannan",11,"MB"
"E12_NM3","arabinan",22,"MB"
"E12_NM3","arabinogalactan protein",12,"MB"
"E12_NM3","beta-galactan",13,"MB"
