#SampleID	forward-absolute-filepath	reverse-absolute-filepath	samplename	name	location	experimenter
DP137_S137_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP137_S137_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP137_S137_L001_R2_001.fastq.gz	Am_C1M5_Dx21	DP137	Plate2_G5	Deanna
DP138_S138_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP138_S138_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP138_S138_L001_R2_001.fastq.gz	Am_C3M1_D3	DP138	Plate2_H5	Deanna
DP139_S139_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP139_S139_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP139_S139_L001_R2_001.fastq.gz	Am_C5M3_D21	DP139	Plate2_A6	Deanna
DP140_S140_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP140_S140_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP140_S140_L001_R2_001.fastq.gz	Se_C2M1_D0_C	DP140	Plate2_B6	Deanna
DP141_S141_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP141_S141_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP141_S141_L001_R2_001.fastq.gz	Se_C4M1_D1_M	DP141	Plate2_C6	Deanna
DP142_S142_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP142_S142_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP142_S142_L001_R2_001.fastq.gz	Se_C2M2_D2_M	DP142	Plate2_D6	Deanna
DP143_S143_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP143_S143_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP143_S143_L001_R2_001.fastq.gz	Se_C3M1_D3_N	DP143	Plate2_E6	Deanna
DP144_S144_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP144_S144_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP144_S144_L001_R2_001.fastq.gz	Se_C1M1_D4_N	DP144	Plate2_F6	Deanna
DP145_S145_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP145_S145_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP145_S145_L001_R2_001.fastq.gz	Am_C2M3_Dx21	DP145	Plate2_G6	Deanna
DP146_S146_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP146_S146_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP146_S146_L001_R2_001.fastq.gz	Am_C5M4_D3	DP146	Plate2_H6	Deanna
